part_num,label_text,short_name,description,brief,status,old_location,location,min_quantity,total_on_hand,latest_inventory_num,latest_inventory_date,latest_backstock_num,latest_backstock_date,max_quantity,unit,%_on_hand,2017 restock: date order placed,price_per,supplier,brand,series,manufacturer_part_number,supplier_part_number,purchase_link,alternate/old_purchase_link,info_link,image_link,"Status (discontinued/obsolete/no longer required, etc.)",Serial #,inventory1,inventory2,inventory3,inventory4,inventory5,inventory6,inventory7,inventory8,inventory9,inventory10,inventory11,inventory12,inventory13,inventory14,inventory15,inventory16,inventory17,inventory18,inventory19,inventory20,,,back_stock1,back_stock2,back_stock3,back_stock4,back_stock5,back_stock6,back_stock7,back_stock8,back_stock9,back_stock10,back_stock11,back_stock12,back_stock13,back_stock14,back_stock15,back_stock16,back_stock17,back_stock18,back_stock19,back_stock20,
9999,label text for bin labels,regular name used in speech,"primary description, [modifier[,...]], [manufacturer's part number]","introduction aimed at a relative novice, explaining what the thing is used for and possibly how to use it. Will be parsed as Markdown.",,,,,,quantity,date,quantity,date,,,,,,,,,,,,,,,,,quantity:date,,,,,,,,,,,,,,,,,,,,,,quantity:date,,,,,,,,,,,,,,,,,,,,
0002,soldering heat sink,soldering heat sink,"heat sink, for soldering, clip type",,Active,B1-R1-C1,soldering bench,2,5,5,5/24/22,0,6/30/21,,each,250%,,$2.20,Amazon,,,,,https://www.amazon.com/gp/product/B0032UYTV6,,,,,,5:3/19/18,5:5/24/18,5:12/17/18,4:1/8/2019,4:05/17/19,5:06/14/21,5:12/20/21,5:5/24/22,,,,,,,,,,,,,,,0:6/30/21,,,,,,,,,,,,,,,,,,,,
2409,brass wool,brass wool,"brass wool, for cleaning soldering tip",,Active,soldering bench,soldering bench,3,11,1,1/8/2019,10,6/7/23,,,367%,,$0.90,Amazon,,,,,https://www.amazon.com/dp/B00NS49LPU,https://www.amazon.com/Cleaning-Replacement-Soldering-Station-Cleaner/dp/B07BNJYQ3C,,,,,0:6/7/18,3:6/19/18,1:1/8/2019,,,,,,,,,,,,,,,,,,,,3:6/19/18,3:01/22/19,3:7/19/21,1:8/19/21,11:6/23/22,10:6/7/23,10:6/7/23,,,,,,,,,,,,,,
0006,soldering sponge,soldering sponge,"sponge, for soldering station","To clean a dirty soldering iron tip, moisten the sponge and then quickly wipe the tip across it.",Active,B1-R1-C2,soldering bench,5,10,7,12/20/21,3,6/5/23,20,,200%,8/1 GG NOT added to buy list,,,,,,,,,,,,,4:6/21/17,3:12/11/17,3:5/24/18,3:12/17/18,2:1/8/2019,0:05/17/19,0:6/16/21,3:6/30/21,7:12/20/21,,,,,,,,,,,,,,9:1/23/18,6:01/17/19,3:6/30/21,3:6/5/23,,,,,,,,,,,,,,,,,
0008,desoldering braid,desoldering braid,"desoldering braid, copper wick","Used to remove solder from a joint. To use: advance some of the braid out of its spool so that you can place the end of it near your joint. Put the braid right on the place where there's extra solder, and then apply heat on top of the braid, through to the joint, with the soldering iron. The braid's large surface area means that it will wick most of the underlying solder into itself through capillary action. After a piece of braid is saturated with solder, cut that part off and discard it in the waste electronics bin.",Active,B1-R1-C3,soldering bench,3,3,2,6/6/23,1,6/6/23,5,,100%,8/1 GG NOT added to buy list,$4.95,MPJA,MG Chemicals,,,,https://www.mpja.com/Superwick-426-Solder-braid-5ft-X10in-MG-Chemical/productinfo/30371+MG,http://www.digikey.com/product-detail/en/426/473-1063-ND/949508,,,,,1:6/21/17,2:11/20/20,3:12/11/17,2:3/16/18,1:5/24/18,3:6/13/18,3:12/17/18,2:1/8/2019,2:04/02/19,0:05/17/19,3:03/01/20,3:6/16/21,1:12/20/21,3:1/25/22,3:5/24/22,2:6/6/23,,,,,,,2:8/31/17,2:1/18/18,0:3/16/18,0:01/17/19,4:04/04/19,8:02/19/20,5:03/01/20,5:6/30/21,3:1/25/22,3:5/24/22,1:6/5/23,1:6/6/23,,,,,,,,,
0010,soldering flux pen,soldering flux pen,"soldering flux, pen, refillable",Used to help prepare a solder joint prior to soldering; particularly useful in surface-mount soldering and desoldering as well.,Active,B1-R1-C4,soldering bench,2,3,1,6/2/23,2,6/6/23,,,150%,,$7.99,Amazon,SRA,,99-20,,https://www.amazon.com/SRA-99-20-Rosin-Soldering-Flux/dp/B008OC3VMU,,,,,,0:6/21/17,2:10/16/17,0:12/11/17,2:12/20/17,1:5/24/18,2:6/19/18,2:12/17/18,2:1/8/2019,1:05/17/19,1:6/16/21,1:12/20/21,1:5/24/22,1:6/2/23,,,,,,,,,,2:12/20/17,2:1/18/18,2:01/17/19,2:6/30/21,2:5/24/22,0:6/2/23,0:6/5/23,2:6/6/23,,,,,,,,,,,,,
0012,,T18-D8 soldering iron tip,"soldering tip, chisel, 0.8mm x 14.5mm, T18-D08","To change out soldering tips, first let the iron cool, then use your fingers (or pliers if necessary) to unscrew the knurled nut at the end of the iron near the tip. The old tip should slide out, and you can add a new one and secure it with the nut. Old tips should be discarded as e-waste.",,B1-R2-C1,soldering bench,4,6,2,5/24/22,4,6/5/23,10,each,150%,,$6.57,Digi-Key,Hakko,,T18-D08,1691-1172-ND,https://www.digikey.com/products/en?keywords=1691-1172-ND,http://www.qsource.com//p-3763-hakko-t18-d08-t18-series-soldering-tip-for-hakko-fx-888fx-8801-chisel-08-mm-x-145-mm.aspx,,,,,4:6/21/17,0:12/11/17,5:12/22/17,4:5/24/18,4:1/8/2019,2:05/17/19,3:6/16/21,3:12/20/21,2:5/24/22,,,,,,,,,,,,,,5:12/22/17,5:1/18/18,5:01/17/19,5:6/30/21,3:5/24/22,4:6/5/23,,,,,,,,,,,,,,,
0014,,T18-S7 soldering iron tip,"soldering tip, T18-S7","To change out soldering tips, first let the iron cool, then use your fingers (or pliers if necessary) to unscrew the knurled nut at the end of the iron near the tip. The old tip should slide out, and you can add a new one and secure it with the nut. Old tips should be discarded as e-waste.",,B1-R2-C2,soldering bench,4,9,3,5/24/22,6,6/5/23,10,each,225%,,$5.27,Digi-Key,Hakko,,,1691-1186-ND,https://www.digikey.com/products/en?keywords=Hakko%20T18-S7,http://www.qsource.com//p-3777-hakko-t18-s7-t18-series-soldering-tip-for-hakko-fx-888fx-8801-bevel-12-mm60-x-145-mm.aspx,,,,,8:6/21/17,1:12/11/17,2:5/24/18,3:1/8/2019,1:05/17/19,0:6/16/21,0:12/20/21,3:1/25/22,3:5/24/22,,,,,,,,,,,,,,9:8/31/17,9:1/18/18,9:01/17/19,9:6/30/21,6:1/25/22,5:5/24/22,6:6/5/23,,,,,,,,,,,,,,
0016,,T18-B soldering iron tip,"soldering tip, T18-B","To change out soldering tips, first let the iron cool, then use your fingers (or pliers if necessary) to unscrew the knurled nut at the end of the iron near the tip. The old tip should slide out, and you can add a new one and secure it with the nut. Old tips should be discarded as e-waste.",,B1-R2-C3,soldering bench,4,4,4,5/24/22,0,5/24/22,10,,100%,7/28 GG added to buy list,$7.61,Amazon,Hakko,,,,https://www.amazon.com/Hakko-T18-B-Soldering-FX-8801-Conical/dp/B004OR9BFU,,,,,,0:6/21/17,10:8/31/17,8:12/11/17,9:5/24/18,9:1/8/2019,7:05/17/19,6:6/16/21,3:12/20/21,4:5/24/22,,,,,,,,,,,,,,0:6/30/21,0:5/24/22,,,,,,,,,,,,,,,,,,,
0018,,T18-BR02 soldering iron tip,"soldering tip, R0.2mm x 10.5mm, T18-BR02","To change out soldering tips, first let the iron cool, then use your fingers (or pliers if necessary) to unscrew the knurled nut at the end of the iron near the tip. The old tip should slide out, and you can add a new one and secure it with the nut. Old tips should be discarded as e-waste.",,B1-R2-C4,soldering bench,4,5,3,5/24/22,2,6/5/23,10,each,125%,,$9.47,Digi-Key,Hakko,,T18-BR02,1691-1167-ND,https://www.digikey.com/products/en?keywords=t18-br02,http://www.qsource.com/p-3749-hakko-t18-br02-t18-series-soldering-tip-for-hakko-fx-888fx-8801-conical-bent-30-r02-mm-x-105-mm.aspx,,,,,1:6/21/17,1:12/11/17,4:12/22/17,3:5/24/18,3:1/8/2019,2:05/17/19,2:6/16/21,0:12/20/21,3:1/25/22,3:5/24/22,,,,,,,,,,,,,5:12/22/17,5:1/18/18,5:01/17/19,5:6/30/21,2:1/25/22,2:5/24/22,2:6/5/23,,,,,,,,,,,,,,
